edit_id,dataset,violation_type,is_violation,evidence
A1,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A2,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A3,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A4,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A5,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B1,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B2,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B3,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B4,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B5,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B6,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B7,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C1,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C2,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C3,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C4,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C5,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C6,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D1,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D2,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D3,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D4,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E1-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E2-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E3-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E4-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E5-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E6-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E7-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E8-r,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F1,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F2,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F3,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F4,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X4,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X5,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X7,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X9,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-G1,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-C2,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-C3,DBPedia,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A1,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A2,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A3,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A4,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
A5,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B1,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B2,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B3,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B4,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B5,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B6,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
B7,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C1,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C2,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C3,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C4,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
C6,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D1,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D2,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D3,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
D4,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E1-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E2-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E3-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E4-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E6-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E7-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
E8-r,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F1,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F3,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
F4,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X4,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X5,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X7,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-X9,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-G1,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
G-C3,TREC,not_available_in_snapshot,False,No explicit hard-violation export in source snapshot.
